id,label,type,meeting_date,case_id,document_type,path
doc:7,Svar_på_interpellation_2026_15_av_Tobias_Nässén_(M)_om_vem_som_tar_ansvaret_när_ingen_gör_det,document,2026-05-05,RS-2026-0214,interpellation,/home/demo/data/2026-05-05/12._Bordlagd_interpellation_2026_15_av_Tobias_Nässén_(M)_om_vem_som_tar_ansvaret_när_ingen_gör_det_RS_2026-0214/Svar_på_interpellation_2026_15_av_Tobias_Nässén_(M)_om_vem_som_tar_ansvaret_när_ingen_gör_det.pdf
"person:Investeringsregionrådet 
Jens Sjöström","Investeringsregionrådet 
Jens Sjöström",person,,,,
person:Jens Sjöström,Jens Sjöström,person,,,,
doc:8,Interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum,document,2026-05-05,RS-2026-0368,interpellation,/home/demo/data/2026-05-05/14._Interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum_RS_2026-0368/Interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum.pdf
case:RS-2026-0368,RS-2026-0368,case,,,,
person:Karolinska Institutet,Karolinska Institutet,person,,,,
"person:Region 
Stockholm","Region 
Stockholm",person,,,,
doc:9,Svar_på_interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum,document,2026-05-05,RS-2026-0368,interpellation,/home/demo/data/2026-05-05/14._Interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum_RS_2026-0368/Svar_på_interpellation_2026_21_av_Amelie_Tarschys_Ingre_(L)_om_ett_pilotprojekt_för_brukarrum.pdf
person:Sandra Ivanovic Rubin,Sandra Ivanovic Rubin,person,,,,
"person:Amelie Tarschys 
Ingre","Amelie Tarschys 
Ingre",person,,,,
doc:10,Interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm,document,2026-05-05,RS-2026-0369,interpellation,/home/demo/data/2026-05-05/15._Interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm_RS_2026-0369/Interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm.pdf
case:RS-2026-0369,RS-2026-0369,case,,,,
"person:Axel Conradi 
Moderaterna","Axel Conradi 
Moderaterna",person,,,,
doc:11,Svar_på_interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm,document,2026-05-05,RS-2026-0369,interpellation,/home/demo/data/2026-05-05/15._Interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm_RS_2026-0369/Svar_på_interpellation_2026_22_av_Axel_Conradi_(M)_om_de_växande_vårdköerna_i_Region_Stockholm.pdf
"person:Västra 
Götalandsregionen","Västra 
Götalandsregionen",person,,,,
person:För Mittenkoalitionen,För Mittenkoalitionen,person,,,,
doc:12,Interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_i_vården,document,2026-05-05,RS-2026-0374,interpellation,/home/demo/data/2026-05-05/17._Interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_RS_2026-0374/Interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_i_vården.pdf
case:RS-2026-0374,RS-2026-0374,case,,,,
person:Diskrimineringsombudsmannen DO,Diskrimineringsombudsmannen DO,person,,,,
"person:Pär Hommerberg 
Liberalerna","Pär Hommerberg 
Liberalerna",person,,,,
doc:13,Svar_på_interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_i_vården,document,2026-05-05,RS-2026-0374,interpellation,/home/demo/data/2026-05-05/17._Interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_RS_2026-0374/Svar_på_interpellation_2026_27_av_Pär_Hommerberg_(L)_om_dövas_rätt_till_teckenspråkstolk_i_vården.pdf
"person:Region
Stockholm","Region
Stockholm",person,,,,
doc:14,"Interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME",document,2026-05-05,RS-2026-0375,interpellation,"/home/demo/data/2026-05-05/18._Interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME_RS_2026-0375/Interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME.pdf"
case:RS-2026-0375,RS-2026-0375,case,,,,
"person:ME 
  
Den","ME 
  
Den",person,,,,
"person:RME 
Stockholm","RME 
Stockholm",person,,,,
"person:Charlotte Broberg 
Moderaterna","Charlotte Broberg 
Moderaterna",person,,,,
doc:15,"Svar_på_interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME",document,2026-05-05,RS-2026-0375,interpellation,"/home/demo/data/2026-05-05/18._Interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME_RS_2026-0375/Svar_på_interpellation_2026_28_av_Charlotte_Broberg_(M)_om_vård_för_alla,_även_för_de_med_svåra_diagnoser_och_tillstånd_som_exempelvis_ME.pdf"
"person:ME 
 
Charlotte Broberg","ME 
 
Charlotte Broberg",person,,,,
person:Karolinska Universitetssjukhuset,Karolinska Universitetssjukhuset,person,,,,
doc:16,Interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre,document,2026-05-05,RS-2026-0363,interpellation,/home/demo/data/2026-05-05/19._Interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre_RS_2026-0363/Interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre.pdf
case:RS-2026-0363,RS-2026-0363,case,,,,
doc:17,Svar_på_interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre,document,2026-05-05,RS-2026-0363,interpellation,/home/demo/data/2026-05-05/19._Interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre_RS_2026-0363/Svar_på_interpellation_2026_16_av_Anna_Malm_Kelfve_(M)_om_hur_mer_kan_bli_mindre.pdf
"person:Trafikregionråd 
Jakop Dalunde","Trafikregionråd 
Jakop Dalunde",person,,,,
person:Enligt Trafikförvaltningen,Enligt Trafikförvaltningen,person,,,,
person:Jakop Dalunde,Jakop Dalunde,person,,,,
doc:18,"Interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter",document,2026-05-05,RS-2026-0205,interpellation,"/home/demo/data/2026-05-05/2._Bordlagd_interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter_RS_2026-0205/Interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter.pdf"
case:RS-2026-0205,RS-2026-0205,case,,,,
doc:19,"Svar_på_interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter",document,2026-05-05,RS-2026-0205,interpellation,"/home/demo/data/2026-05-05/2._Bordlagd_interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter_RS_2026-0205/Svar_på_interpellation_2026_6_av_Amelie_Tarschys_Ingre_(L)_om_styrning,_ansvar_och_öppenhet_i_Region_Stockholms_verksamheter.pdf"
"person:Finansregionrådet 
Aida","Finansregionrådet 
Aida",person,,,,
"person:Nämndordförande 
Göran Stiernstedt","Nämndordförande 
Göran Stiernstedt",person,,,,
person:Christophe Pedroletti,Christophe Pedroletti,person,,,,
doc:20,Interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov,document,2026-05-05,RS-2026-0367,interpellation,/home/demo/data/2026-05-05/20._Interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov_RS_2026-0367/Interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov.pdf
case:RS-2026-0367,RS-2026-0367,case,,,,
person:Line El Yafi,Line El Yafi,person,,,,
"person:Vanessa 
Stjernborg","Vanessa 
Stjernborg",person,,,,
person:Lina El Yafi,Lina El Yafi,person,,,,
doc:21,Svar_på_interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov,document,2026-05-05,RS-2026-0367,interpellation,/home/demo/data/2026-05-05/20._Interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov_RS_2026-0367/Svar_på_interpellation_2026_20_av_Lina_El_Yafi_(V)_om_hur_bristande_arbetsmiljö_för_bussförare_ger_sämre_service_till_resenärer_med_särskilda_behov.pdf
"person:Trafikregionråd  
Jakop Dalunde","Trafikregionråd  
Jakop Dalunde",person,,,,
doc:22,Interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje,document,2026-05-05,RS-2026-0376,interpellation,/home/demo/data/2026-05-05/21._Interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje_RS_2026-0376/Interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje.pdf
case:RS-2026-0376,RS-2026-0376,case,,,,
doc:23,Svar_på_interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje,document,2026-05-05,RS-2026-0376,interpellation,/home/demo/data/2026-05-05/21._Interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje_RS_2026-0376/Svar_på_interpellation_2026_29_av_Pär_Hommerberg_(L)_om_högtalarutropen_på_tunnelbanans_röda_linje.pdf
doc:24,Interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI-satsningarna_i_Region_Stockholm,document,2026-05-05,RS-2026-0365,interpellation,/home/demo/data/2026-05-05/22._Interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI-satsningarna_i_Region_Stockholm_RS_2026-0365/Interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI-satsningarna_i_Region_Stockholm.pdf
case:RS-2026-0365,RS-2026-0365,case,,,,
doc:25,Svar_på_interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI_satsningarna_i_Region_Stockholm,document,2026-05-05,RS-2026-0365,interpellation,/home/demo/data/2026-05-05/22._Interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI-satsningarna_i_Region_Stockholm_RS_2026-0365/Svar_på_interpellation_2026_18_av_Amelie_Tarschys_Ingre_(L)_om_AI_satsningarna_i_Region_Stockholm.pdf
"person:Finansregionråd 
Aida","Finansregionråd 
Aida",person,,,,
person:Tarschys Ingre,Tarschys Ingre,person,,,,
person:Från Alfred Nobels,Från Alfred Nobels,person,,,,
person:Regional AI,Regional AI,person,,,,
person:Digital Futures,Digital Futures,person,,,,
person:AI Sweden,AI Sweden,person,,,,
doc:26,Interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030,document,2026-05-05,RS-2026-0364,interpellation,/home/demo/data/2026-05-05/23._Interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030_RS_2026-0364/Interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030.pdf
case:RS-2026-0364,RS-2026-0364,case,,,,
person:Anna Sehlin,Anna Sehlin,person,,,,
person:IVL Svenska Miljöinstitutet,IVL Svenska Miljöinstitutet,person,,,,
person:Enligt IVL,Enligt IVL,person,,,,
doc:27,Svar_på_interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030,document,2026-05-05,RS-2026-0364,interpellation,/home/demo/data/2026-05-05/23._Interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030_RS_2026-0364/Svar_på_interpellation_2026_17_av_Anna_Sehlin_(V)_om_åtgärder_för_att_nå_Sveriges_transportmål_för_2030.pdf
person:Märta Martin-Granlund,Märta Martin-Granlund,person,,,,
doc:28,Interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplan_för_fast_läkarkontakt,document,2026-05-05,RS-2026-0370,interpellation,/home/demo/data/2026-05-05/24._Interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplan_för_fast_läkarkontakt_RS_2026-0370/Interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplan_för_fast_läkarkontakt.pdf
case:RS-2026-0370,RS-2026-0370,case,,,,
person:Som Liberalerna,Som Liberalerna,person,,,,
doc:29,Svar_på_interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplanen_för_fast_läkarkontakt,document,2026-05-05,RS-2026-0370,interpellation,/home/demo/data/2026-05-05/24._Interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplan_för_fast_läkarkontakt_RS_2026-0370/Svar_på_interpellation_2026_23_av_Amelie_Tarschys_Ingre_(L)_om_genomförandet_av_handlingsplanen_för_fast_läkarkontakt.pdf
"person:Primärvårdsregionråd 
Christine Lorne","Primärvårdsregionråd 
Christine Lorne",person,,,,
person:Att ListOn,Att ListOn,person,,,,
person:Christine Lorne,Christine Lorne,person,,,,
doc:30,Interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens,document,2026-05-05,RS-2026-0378,interpellation,/home/demo/data/2026-05-05/25._Interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens_RS_2026-0378/Interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens.pdf
case:RS-2026-0378,RS-2026-0378,case,,,,
person:Peter Ohlsson,Peter Ohlsson,person,,,,
"person:Peter Ohlsson 
Moderaterna","Peter Ohlsson 
Moderaterna",person,,,,
doc:31,Svar_på_interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens,document,2026-05-05,RS-2026-0378,interpellation,/home/demo/data/2026-05-05/25._Interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens_RS_2026-0378/Svar_på_interpellation_2026_31_av_Peter_Ohlsson_(M)_om_hur_vi_garanterar_en_patientnämnd_som_står_på_patienternas_sida_och_inte_den_politiska_ledningens.pdf
person:Sensitive Information,Sensitive Information,person,,,,
"person:Karolinska 
Universitetssjukhuset","Karolinska 
Universitetssjukhuset",person,,,,
person:Angående IVO-rapporten,Angående IVO-rapporten,person,,,,
doc:32,Interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm,document,2026-05-05,RS-2026-0373,interpellation,/home/demo/data/2026-05-05/26._Interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm_RS_2026-0373/Interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm.pdf
case:RS-2026-0373,RS-2026-0373,case,,,,
"person:Stockholm 
  
De","Stockholm 
  
De",person,,,,
"person:Från 
Moderaterna","Från 
Moderaterna",person,,,,
person:Sankt Görans,Sankt Görans,person,,,,
doc:33,Svar_på_interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm,document,2026-05-05,RS-2026-0373,interpellation,/home/demo/data/2026-05-05/26._Interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm_RS_2026-0373/Svar_på_interpellation_2026_26_av_Charlotte_Broberg_(M)_om_stora_brister_och_svårigheter_att_få_tillfredställande_psykiatrisk_vård_i_region_Stockholm.pdf
"person:Stockholm  
 
 
Charlotte Broberg","Stockholm  
 
 
Charlotte Broberg",person,,,,
person:För SLSO,För SLSO,person,,,,
person:Såväl SLSO,Såväl SLSO,person,,,,
person:RPO Psykisk,RPO Psykisk,person,,,,
